timestamp,round,token,context
<<<<<<< HEAD,,,
2025-01-26T05:11:43.026766,1.0,HERE IS THE LIST OF TOKEN SYMBOLS EXTRACTED FROM THE TEXT:,Round 1 discussion
2025-01-26T05:11:43.026766,1.0,* BITCOIN (BTC),Round 1 discussion
2025-01-26T05:11:43.026766,1.0,* ETHEREUM (ETH),Round 1 discussion
2025-01-26T05:29:44.480587,1.0,HERE IS THE LIST OF TOKEN SYMBOLS EXTRACTED FROM THE TEXT:,Round 1 discussion
2025-01-26T05:29:44.480587,1.0,* BITCOIN (BTC),Round 1 discussion
2025-01-26T05:29:44.480587,1.0,* ETHEREUM (ETH),Round 1 discussion
=======,,,
2025-01-10T10:18:04.488891,1.0,"[TEXTBLOCK(TEXT='BTC\NETH\NFDUSD\NSOL\NPENGU', TYPE='TEXT')]",Round 1 discussion
2025-01-10T10:19:32.059726,2.0,"[TEXTBLOCK(TEXT='BTC\NETH\NSOL\NPENGU', TYPE='TEXT')]",Round 2 discussion
2025-01-10T10:20:58.800290,3.0,"[TEXTBLOCK(TEXT='BTC\NETH\NSOL\NPENGU', TYPE='TEXT')]",Round 3 discussion
2025-01-10T10:22:25.979932,4.0,"[TEXTBLOCK(TEXT='BTC\NETH\NSOL\NPENGU', TYPE='TEXT')]",Round 4 discussion
2025-01-10T10:28:10.815171,1.0,"[TEXTBLOCK(TEXT='HERE IS THE LIST OF ALL TOKEN SYMBOLS EXTRACTED FROM THE CONVERSATION:\N\N- BTC\N- ETH\N- ANDY\N- OM\N- COOKIE\N- CGPT\N- GRIFFAIN\N- ANON\N- VIRTUAL\N- AIXBT', TYPE='TEXT')]",Round 1 discussion
2025-01-24T15:44:49.326679,1.0,BTC,Round 1 discussion
2025-01-24T15:44:49.326679,1.0,ETH,Round 1 discussion
2025-01-26T14:29:41.213229,1.0,HERE IS THE LIST OF TOKEN SYMBOLS EXTRACTED FROM THE TEXT:,Round 1 discussion
2025-01-26T14:29:41.213229,1.0,1. BTC,Round 1 discussion
2025-01-26T14:29:41.213229,1.0,2. ETH,Round 1 discussion
<<<<<<< HEAD,,,
2025-01-27T10:51:12.692929,1.0,HERE IS THE LIST OF TOKEN SYMBOLS EXTRACTED FROM THE TEXT:,Round 1 discussion
2025-01-27T10:51:12.692929,1.0,1. BTC (BITCOIN),Round 1 discussion
2025-01-27T10:51:12.692929,1.0,2. ETH (ETHEREUM),Round 1 discussion
2025-01-27T10:51:12.692929,1.0,3. LINK (CHAINLINK),Round 1 discussion
2025-01-27T10:51:12.692929,1.0,4. XRP (RIPPLE),Round 1 discussion
=======,,,
>>>>>>> c3be79076105d42d3e63e937514eb36d7155f542,,,
>>>>>>> 08f5512040c5811ff908f0df6228e9b1d45cd007,,,
2025-01-30T01:42:59.151415,1.0,HERE IS THE LIST OF TOKEN SYMBOLS EXTRACTED FROM THE TEXT:,Round 1 discussion
2025-01-30T01:42:59.151415,1.0,1. ETH (ETHEREUM),Round 1 discussion
2025-01-30T01:42:59.151415,1.0,2. LINK (CHAINLINK),Round 1 discussion
2025-01-30T01:42:59.151415,1.0,3. BTC (BITCOIN),Round 1 discussion
2025-01-30T01:42:59.151415,1.0,4. XRP (RIPPLE),Round 1 discussion
2025-01-30T02:19:24.876983,2.0,HERE IS THE LIST OF TOKEN SYMBOLS EXTRACTED FROM THE TEXT:,Round 2 discussion
2025-01-30T02:19:24.876983,2.0,1. ETH (ETHEREUM),Round 2 discussion
2025-01-30T02:19:24.876983,2.0,2. LINK (CHAINLINK),Round 2 discussion
2025-01-30T02:19:24.876983,2.0,3. BTC (BITCOIN),Round 2 discussion
2025-01-30T02:19:24.876983,2.0,4. XRP (RIPPLE),Round 2 discussion
2025-01-30T02:56:02.322574,3.0,HERE IS THE LIST OF TOKEN SYMBOLS EXTRACTED FROM THE TEXT:,Round 3 discussion
2025-01-30T02:56:02.322574,3.0,1. ETH (ETHEREUM),Round 3 discussion
2025-01-30T02:56:02.322574,3.0,2. LINK (CHAINLINK),Round 3 discussion
2025-01-30T02:56:02.322574,3.0,3. BTC (BITCOIN),Round 3 discussion
2025-01-30T02:56:02.322574,3.0,4. XRP (RIPPLE),Round 3 discussion
2025-01-30T03:32:48.372518,4.0,HERE IS THE LIST OF TOKEN SYMBOLS EXTRACTED FROM THE TEXT:,Round 4 discussion
2025-01-30T03:32:48.372518,4.0,1. ETH (ETHEREUM),Round 4 discussion
2025-01-30T03:32:48.372518,4.0,2. XRP (RIPPLE),Round 4 discussion
2025-01-30T03:32:48.372518,4.0,3. BTC (BITCOIN),Round 4 discussion
